,epoch,lr,tr_loss,tr_score,vl_loss,vl_score
0,0,0.0,3.97377391605426,9.432,3.757638394832611,11.88
1,1,0.09999999999744245,3.2558500809437785,19.95,3.1874823331832887,21.45
2,2,0.09999999999744245,2.755855510301907,29.078,2.6079673409461974,32.29
3,3,0.09999999999744245,2.488639427267987,34.202,2.291649615764618,38.73
4,4,0.09999999999744245,2.3094250799140053,38.044,2.398499405384064,36.19
5,5,0.09999999999744245,2.183292540747796,40.59,2.0640994012355804,43.58
6,6,0.09999999999744245,2.0668065547943115,43.444,2.1273308992385864,42.25
7,7,0.09999999999744245,2.0112461479728485,44.98,2.0678854107856752,43.51
8,8,0.09999999999744245,1.9331680484440015,46.588,1.937534862756729,46.51
9,9,0.09999999999744245,1.9003462639001325,47.298,2.2206030011177065,42.04
10,10,0.09999999999744245,1.83992142841944,48.992,1.8255942404270171,48.78
11,11,0.09999999999744245,1.8199772907949774,49.388,1.8767774760723115,47.56
12,12,0.09999999999744245,1.7861823404536528,50.106,1.9464204609394073,48.27
13,13,0.09999999999744245,1.7526295578388302,50.846,1.9386965215206147,47.58
14,14,0.09999999999744245,1.7220201922194731,51.642,2.0226012408733367,45.69
15,15,0.09999999999744245,1.6966235412051305,52.142,1.8908758819103242,49.33
16,16,0.09999999999744245,1.6741211758855055,52.868,1.909119576215744,47.7
17,17,0.09999999999744245,1.639972102916454,53.644,1.9185219287872315,48.26
18,18,0.09999999999744245,1.636649809530019,53.874,2.1660324811935423,43.97
19,19,0.09999999999744245,1.618534698815602,54.256,1.9264992117881774,48.47
20,20,0.09999999999744245,1.5997084796886005,54.61,1.8496979594230651,49.93
21,21,0.09999999999744245,1.585231306302883,55.132,1.8228653132915498,50.73
22,22,0.09999999999744245,1.562959165524339,55.564,1.9487800776958466,49.07
23,23,0.09999999999744245,1.5549321311818973,55.826,1.691930079460144,53.48
24,24,0.09999999999744245,1.5479641018621146,56.152,1.6602095127105714,53.71
25,25,0.09999999999744245,1.545365607342147,56.12,1.9246871054172516,48.77
26,26,0.09999999999744245,1.5134355439554394,56.944,1.9142190575599671,49.3
27,27,0.09999999999744245,1.5164490279639165,56.804,1.8768343567848205,50.93
28,28,0.09999999999744245,1.4953059692821844,57.444,1.6965229034423828,54.14
29,29,0.09999999999744245,1.4857212036771847,57.596,1.7421277463436127,52.01
30,30,0.09999999999744245,1.4893017556051464,57.68,1.6921466052532197,54.24
31,31,0.09999999999744245,1.4803482952630123,57.718,1.6319904148578643,54.55
32,32,0.09999999999744245,1.464298044019343,58.44,1.8563658118247985,50.85
33,33,0.09999999999744245,1.4654867725299143,58.206,1.6825485169887542,53.94
34,34,0.09999999999744245,1.4521855182964782,58.642,1.68374502658844,53.94
35,35,0.09999999999744245,1.4448860304434892,58.75,1.8623840868473054,50.83
36,36,0.09999999999744245,1.4450230561863735,58.71,1.8241987645626068,51.12
37,37,0.09999999999744245,1.4491389462405153,58.894,1.619208711385727,55.73
38,38,0.09999999999744245,1.4375625777122614,58.894,1.7514353215694427,53.57
39,39,0.09999999999744245,1.4188867261647569,59.456,1.7410830855369568,52.44
40,40,0.09999999999744245,1.4177403645137387,59.446,1.807610309123993,51.55
41,41,0.09999999999744245,1.4172836513165623,59.45,1.7350707590579986,53.09
42,42,0.09999999999744245,1.4145220358048558,59.588,1.7397979497909546,52.46
43,43,0.09999999999744245,1.400887108519864,59.956,2.208011656999588,46.98
44,44,0.09999999999744245,1.4092530262134875,59.534,1.630509799718857,54.69
45,45,0.09999999999744245,1.398332131793127,59.872,1.7164954781532287,53.84
46,46,0.09999999999744245,1.3946038661405558,60.198,1.7907150089740753,53.14
47,47,0.09999999999744245,1.3937258683811977,60.13,2.0117095947265624,48.71
48,48,0.09999999999744245,1.3952133131149176,60.212,2.0145250499248504,49.09
49,49,0.09999999999744245,1.3809535497289789,60.704,1.704273808002472,53.6
50,50,0.09999999999744245,1.3905673033136237,60.168,1.661007934808731,54.67
51,51,0.09999999999744245,1.3814881046104919,60.548,1.6694237649440766,54.89
52,52,0.09999999999744245,1.3815855094234046,60.504,1.5612804651260377,56.74
53,53,0.09999999999744245,1.3838037275292379,60.45,1.5327135503292084,58.05
54,54,0.09999999999744245,1.3714180324998353,60.68,1.9663609862327576,49.32
55,55,0.09999999999744245,1.3640042081513368,60.664,1.7351410150527955,53.16
56,56,0.09999999999744245,1.3723997030111834,60.69,1.6329313814640045,55.38
57,57,0.09999999999744245,1.3620504178964268,60.964,1.7659503400325776,52.97
58,58,0.09999999999744245,1.363654925237836,60.832,1.7895881116390229,52.42
59,59,0.09999999999744245,1.356796626697111,61.046,1.7147603571414947,53.66
60,60,0.019999999999488493,0.8585904967754393,74.762,0.9694101840257645,71.64
61,61,0.019999999999488493,0.7185362285512793,78.246,0.9717142730951309,71.97
62,62,0.019999999999488493,0.6667376451784998,79.6,0.9619506061077118,71.93
63,63,0.019999999999488493,0.631281275578472,80.498,1.0107816964387895,71.44
64,64,0.019999999999488493,0.6161561811061771,81.064,0.9946187317371369,71.66
65,65,0.019999999999488493,0.5969652474841194,81.752,1.0211061388254166,71.43
66,66,0.019999999999488493,0.5859245457460204,82.094,1.0118052691221238,71.41
67,67,0.019999999999488493,0.5849019718139677,81.972,1.0438599705696106,71.29
68,68,0.019999999999488493,0.5757337814706671,82.346,1.0456395119428634,71.16
69,69,0.019999999999488493,0.5733231067505029,82.292,1.077318024635315,70.27
70,70,0.019999999999488493,0.5746323525753168,82.104,1.0774418741464615,70.2
