,epoch,lr,tr_loss,tr_score,vl_loss,vl_score
0,0,0.0,4.050450657334779,8.016,3.7332985758781434,12.03
1,1,0.09999999999744245,3.3603818575134667,18.12,3.030993163585663,24.09
2,2,0.09999999999744245,2.8156681243720874,27.446,2.828715753555298,28.28
3,3,0.09999999999744245,2.5017781556414826,33.558,2.4829644560813904,33.6
4,4,0.09999999999744245,2.3031380545452733,37.926,2.3973806858062745,36.34
5,5,0.09999999999744245,2.1585364853939435,41.226,2.3279073596000672,39.26
6,6,0.09999999999744245,2.053625780298277,43.72,2.1825102090835573,42.13
7,7,0.09999999999744245,1.981121983369598,45.256,2.024108439683914,44.27
8,8,0.09999999999744245,1.9071403997938345,47.152,2.021425861120224,45.63
9,9,0.09999999999744245,1.8609773188905643,48.21,1.956422394514084,46.69
10,10,0.09999999999744245,1.8137995611371287,49.336,1.9308461666107177,47.39
11,11,0.09999999999744245,1.7745722300561189,50.256,1.9854705214500428,46.64
12,12,0.09999999999744245,1.7397817888528184,51.4,1.8411368787288667,49.89
13,13,0.09999999999744245,1.7129774511317768,51.786,1.874066036939621,49.26
14,14,0.09999999999744245,1.676513730412554,52.906,2.346350979804993,41.47
15,15,0.09999999999744245,1.664093122153026,53.21,1.854889577627182,50.0
16,16,0.09999999999744245,1.6410087944601504,53.872,1.744501668214798,52.48
17,17,0.09999999999744245,1.624313522482772,54.246,1.897458404302597,49.3
18,18,0.09999999999744245,1.606616217157115,54.742,1.9717476606369018,48.23
19,19,0.09999999999744245,1.5855255840379563,55.196,1.7376559019088744,52.65
20,20,0.09999999999744245,1.5774451329580048,55.754,1.6697315990924835,53.78
21,21,0.09999999999744245,1.5702224762543389,55.54,1.7925680518150329,51.28
22,22,0.09999999999744245,1.5512644354339755,56.202,1.8664333701133728,50.35
23,23,0.09999999999744245,1.540065395557667,56.138,1.6956688642501831,53.45
24,24,0.09999999999744245,1.5338510101103722,56.586,1.7703442871570587,52.8
25,25,0.09999999999744245,1.5305587111226737,56.556,1.6734499633312225,53.62
26,26,0.09999999999744245,1.520714916231687,56.868,1.7781768500804902,52.3
27,27,0.09999999999744245,1.5245421399240908,56.78,1.9079374551773072,49.35
28,28,0.09999999999744245,1.5046818619189055,57.148,1.62939293384552,55.11
29,29,0.09999999999744245,1.4969279705106144,57.414,1.7207487881183625,53.19
30,30,0.09999999999744245,1.494207446532481,57.182,1.712392807006836,52.26
31,31,0.09999999999744245,1.4932482099289175,57.41,1.7862487852573394,51.65
32,32,0.09999999999744245,1.485316808266408,57.64,1.6753784120082855,54.12
33,33,0.09999999999744245,1.4745962924664588,57.74,1.720923614501953,52.81
34,34,0.09999999999744245,1.4708661700758483,57.918,1.7034519076347352,53.15
35,35,0.09999999999744245,1.4666723034266012,58.274,1.7507704317569732,52.49
36,36,0.09999999999744245,1.466363943751206,58.432,1.6984494745731353,53.37
37,37,0.09999999999744245,1.458801001539011,58.624,1.8258059859275817,51.22
38,38,0.09999999999744245,1.4542559644450312,58.576,1.7422968864440918,53.29
39,39,0.09999999999744245,1.4526424173199002,58.428,1.8014864444732666,50.25
40,40,0.09999999999744245,1.4425784370783346,58.938,1.784823763370514,52.68
41,41,0.09999999999744245,1.4377504233509073,58.89,1.6666043817996978,54.62
42,42,0.09999999999744245,1.4332952718905476,59.122,1.6746293902397156,54.67
43,43,0.09999999999744245,1.4365473567982159,58.852,1.7125182569026947,53.8
44,44,0.09999999999744245,1.4276608280513599,59.194,1.7441273152828216,54.02
45,45,0.09999999999744245,1.4198616172956384,59.398,1.6778946280479432,54.25
46,46,0.09999999999744245,1.425378712546795,59.402,1.9479348003864287,48.99
47,47,0.09999999999744245,1.4229080552030402,59.578,1.8437525570392608,50.11
48,48,0.09999999999744245,1.4181783982859852,59.538,1.6964614987373352,53.4
49,49,0.09999999999744245,1.4121063619928287,59.778,1.5376684546470643,57.23
50,50,0.09999999999744245,1.4130763467925285,59.464,1.53806391954422,57.22
51,51,0.09999999999744245,1.4098575532893696,59.644,1.8373421251773834,51.4
52,52,0.09999999999744245,1.4116825060466367,59.872,1.7345124781131744,54.1
53,53,0.09999999999744245,1.4033179761808547,60.016,1.673384565114975,54.72
54,54,0.09999999999744245,1.4001535338818873,59.862,1.6609849035739899,55.15
55,55,0.09999999999744245,1.3952323335515873,60.064,2.020737075805664,47.28
56,56,0.09999999999744245,1.3928910969468333,60.276,1.7279320359230042,53.77
57,57,0.09999999999744245,1.3912457494479615,60.39,1.7621400356292725,52.86
58,58,0.09999999999744245,1.3900489011384032,60.392,1.6257988929748535,54.73
59,59,0.09999999999744245,1.3837286294878597,60.318,1.6351932466030121,55.46
60,60,0.019999999999488493,0.9138435489686249,72.84,1.0553305238485335,69.37
61,61,0.019999999999488493,0.7902298647424449,76.204,0.9992430865764618,70.98
62,62,0.019999999999488493,0.7376975437716755,77.634,1.0273500770330428,70.67
63,63,0.019999999999488493,0.703462863974559,78.5,1.0302716195583344,71.02
64,64,0.019999999999488493,0.689421204959645,78.758,1.0477350234985352,70.45
65,65,0.019999999999488493,0.6776977442109676,79.334,1.0595152914524077,70.14
66,66,0.019999999999488493,0.6686638143971143,79.588,1.0939404517412186,69.42
67,67,0.019999999999488493,0.6647972689412743,79.52,1.1168612241744995,68.93
68,68,0.019999999999488493,0.6597899076578867,79.644,1.1398657858371735,68.75
69,69,0.019999999999488493,0.6608143973228572,79.644,1.1850582242012024,67.58
70,70,0.019999999999488493,0.6426332548756124,80.336,1.1394404530525208,68.76
71,71,0.019999999999488493,0.6534947838319842,79.806,1.121540054678917,69.18
